study,outcome,timepoint,data_type,field,field_category,Sam_value,Brit_value,PM_value,Claude_value,SvBr,SvPM,SvCl,BvPM,BvCl,PMvCl,Ground Truth,Sam_truth,Brit_truth,PM_truth,Claude_truth
Albers,Median score on the modified Rankin scale at 90 days (median [IQR]),90 days,Continuous,n_intervention,Continuous,228,228,228,226,YES,YES,NO,YES,NO,NO,226,NO,NO,NO,YES
Albers,Median score on the modified Rankin scale at 90 days (median [IQR]),90 days,Continuous,n_control,Continuous,230,230,230,229,YES,YES,NO,YES,NO,NO,229,NO,NO,NO,YES
Albers,Median score on the modified Rankin scale at 90 days (median [IQR]),90 days,Continuous,median_intervention,Continuous,3,3,3,3,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Albers,Median score on the modified Rankin scale at 90 days (median [IQR]),90 days,Continuous,iqr_lower_intervention,Continuous,1,1,1,1,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Albers,Median score on the modified Rankin scale at 90 days (median [IQR]),90 days,Continuous,iqr_upper_intervention,Continuous,5,5,5,5,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Albers,Median score on the modified Rankin scale at 90 days (median [IQR]),90 days,Continuous,median_control,Continuous,3,3,3,3,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Albers,Median score on the modified Rankin scale at 90 days (median [IQR]),90 days,Continuous,iqr_lower_control,Continuous,1,1,1,1,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Albers,Median score on the modified Rankin scale at 90 days (median [IQR]),90 days,Continuous,iqr_upper_control,Continuous,4,4,4,4,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Albers,Median score on the modified Rankin scale at 90 days (median [IQR]),90 days,Continuous,effect_size,Effect/CI,,1.13,,,Sam N/A,,,PM N/A,Claude N/A,,,Sam N/A,YES,PM N/A,Claude N/A
Albers,Median score on the modified Rankin scale at 90 days (median [IQR]),90 days,Continuous,ci_lower,Effect/CI,,0.82,,,Sam N/A,,,PM N/A,Claude N/A,,,Sam N/A,YES,PM N/A,Claude N/A
Albers,Median score on the modified Rankin scale at 90 days (median [IQR]),90 days,Continuous,ci_upper,Effect/CI,,1.57,,,Sam N/A,,,PM N/A,Claude N/A,,,Sam N/A,YES,PM N/A,Claude N/A
Albers,Distribution of scores on the modified Rankin scale at 90 days,90 days,Ordinal,n_intervention,Dichotomous,,226,,,Sam N/A,,,PM N/A,Claude N/A,,,Sam N/A,YES,PM N/A,Claude N/A
Albers,Distribution of scores on the modified Rankin scale at 90 days,90 days,Ordinal,n_control,Dichotomous,,229,,,Sam N/A,,,PM N/A,Claude N/A,,,Sam N/A,YES,PM N/A,Claude N/A
Albers,Distribution of scores on the modified Rankin scale at 90 days,90 days,Ordinal,effect_size,Effect/CI,1.13,1.13,1.13,1.13,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Albers,Distribution of scores on the modified Rankin scale at 90 days,90 days,Ordinal,ci_lower,Effect/CI,0.82,0.82,0.82,0.82,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Albers,Distribution of scores on the modified Rankin scale at 90 days,90 days,Ordinal,ci_upper,Effect/CI,1.57,1.57,1.57,1.57,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Albers,Functional independence at 90 days,90 days,Dichotomous,n_intervention,Dichotomous,226,226,226,226,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Albers,Functional independence at 90 days,90 days,Dichotomous,events_intervention,Dichotomous,104,104,104,104,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Albers,Functional independence at 90 days,90 days,Dichotomous,n_control,Dichotomous,229,229,229,229,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Albers,Functional independence at 90 days,90 days,Dichotomous,events_control,Dichotomous,97,97,97,97,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Albers,Functional independence at 90 days,90 days,Dichotomous,effect_size,Effect/CI,1.18,,,,Brit N/A,PM N/A,Claude N/A,,,,,YES,Brit N/A,PM N/A,Claude N/A
Albers,Functional independence at 90 days,90 days,Dichotomous,ci_lower,Effect/CI,0.8,,,,Brit N/A,PM N/A,Claude N/A,,,,,YES,Brit N/A,PM N/A,Claude N/A
Albers,Functional independence at 90 days,90 days,Dichotomous,ci_upper,Effect/CI,1.74,,,,Brit N/A,PM N/A,Claude N/A,,,,,YES,Brit N/A,PM N/A,Claude N/A
Albers,Recanalization at 24 hr,24 hours,Dichotomous,n_intervention,Dichotomous,193,193,193,193,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Albers,Recanalization at 24 hr,24 hours,Dichotomous,events_intervention,Dichotomous,148,148,148,148,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Albers,Recanalization at 24 hr,24 hours,Dichotomous,n_control,Dichotomous,194,194,194,194,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Albers,Recanalization at 24 hr,24 hours,Dichotomous,events_control,Dichotomous,124,124,124,124,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Albers,Recanalization at 24 hr,24 hours,Dichotomous,effect_size,Effect/CI,1.89,,,,Brit N/A,PM N/A,Claude N/A,,,,,YES,Brit N/A,PM N/A,Claude N/A
Albers,Recanalization at 24 hr,24 hours,Dichotomous,ci_lower,Effect/CI,1.21,,,,Brit N/A,PM N/A,Claude N/A,,,,,YES,Brit N/A,PM N/A,Claude N/A
Albers,Recanalization at 24 hr,24 hours,Dichotomous,ci_upper,Effect/CI,2.95,,,,Brit N/A,PM N/A,Claude N/A,,,,,YES,Brit N/A,PM N/A,Claude N/A
Albers,Reperfusion at 24 hr,24 hours,Dichotomous,n_intervention,Dichotomous,174,174,174,174,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Albers,Reperfusion at 24 hr,24 hours,Dichotomous,events_intervention,Dichotomous,99,99,99,99,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Albers,Reperfusion at 24 hr,24 hours,Dichotomous,n_control,Dichotomous,182,182,182,182,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Albers,Reperfusion at 24 hr,24 hours,Dichotomous,events_control,Dichotomous,105,105,105,105,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Albers,Reperfusion at 24 hr,24 hours,Dichotomous,effect_size,Effect/CI,1.04,,,,Brit N/A,PM N/A,Claude N/A,,,,,YES,Brit N/A,PM N/A,Claude N/A
