Study,Outcome,Data Type,Timepoint,Primary?,Intervention Arm,Control Arm,N (Intervention),Events (Intervention),N (Control),Events (Control),Mean (Intervention),SD (Intervention),Median (Intervention),IQR Lower (Int),IQR Upper (Int),Mean (Control),SD (Control),Median (Control),IQR Lower (Con),IQR Upper (Con),Effect Size,95% CI Lower,95% CI Upper,Include? (Y / N / Note),Notes / Missed Outcomes
Albers,Median score on the modified Rankin scale at 90 days (median [IQR]),Continuous,90 days,Yes,Tenecteplase,Placebo,228,,230,,,,3,1,5,,,3,1,4,1.13,0.82,1.57,Y,
Albers,Distribution of scores on the modified Rankin scale at 90 days,Ordinal,90 days,Yes,Tenecteplase,Placebo,226,,229,,,,,,,,,,,,1.13,0.82,1.57,Y,
Albers,Functional independence at 90 days,Dichotomous,90 days,,Tenecteplase,Placebo,226,104,229,97,,,,,,,,,,,,,,Y,
Albers,Recanalization at 24 hr,Dichotomous,24 hours,,Tenecteplase,Placebo,193,148,194,124,,,,,,,,,,,,,,Y,
Albers,Reperfusion at 24 hr,Dichotomous,24 hours,,Tenecteplase,Placebo,174,99,182,105,,,,,,,,,,,,,,Y,
Albers,Reperfusion at the conclusion of endovascular thrombectomy,Dichotomous,Conclusion of procedure,,Tenecteplase,Placebo,175,156,178,152,,,,,,,,,,,,,,Y,
Albers,Death within 30 days,Dichotomous,30 days,,Tenecteplase,Placebo,218,32,214,32,,,,,,,,,,,,,,Y,
Albers,Death within 90 days,Dichotomous,90 days,,Tenecteplase,Placebo,218,43,214,39,,,,,,,,,,,,,,Y,
Albers,Symptomatic intracranial hemorrhage within 36 hr,Dichotomous,36 hours,,Tenecteplase,Placebo,218,7,214,5,,,,,,,,,,,,,,Y,
Albers,Parenchymal hematoma within 72 hr - Type 1,Dichotomous,72 hours,,Tenecteplase,Placebo,218,2,214,1,,,,,,,,,,,,,,Y,
Albers,Parenchymal hematoma within 72 hr - Type 2,Dichotomous,72 hours,,Tenecteplase,Placebo,218,8,214,6,,,,,,,,,,,,,,Y,
Albers,Final infarct volume (mean ± SD),Continuous,Final,,Tenecteplase,Placebo,216,,218,,47.9,71.1,,,,56.5,81.5,,,,-2,-6,3,,
Albers,⬇ ADD KEY OUTCOMES PM MISSED BELOW ⬇,,,,,,,,,,,,,,,,,,,,,,,,
Albers,,,,,,,,,,,,,,,,,,,,,,,,,
Albers,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Y,
Cheng,Primary outcome (major reperfusion without sICH 24 to 48 hours after randomization),Dichotomous,24 to 48 hours,Yes,Tenecteplase,Best medical treatment,111,37,111,12,,,,,,,,,,,,,,Y,
Cheng,Recanalization,Dichotomous,4 to 6 hours,,Tenecteplase,Best medical treatment,109,39,112,16,,,,,,,,,,,,,,Y,
Cheng,Infarct growth at 3-5 d (median [IQR]),Continuous,3 to 5 days,,Tenecteplase,Best medical treatment,111,,113,,,,18.9,4.2,59.6,,,16.5,2.6,42.3,5,-2.8,12.9,Y,
Cheng,Major neurological improvement,Dichotomous,24 to 48 hours,,Tenecteplase,Best medical treatment,110,24,112,26,,,,,,,,,,,,,,Y,
Cheng,Change in NIHSS score compared with baseline (median [IQR]),Continuous,24 to 48 hours,,Tenecteplase,Best medical treatment,111,,113,,,,-1,-4,0,,,-1,-5,0,0.2,-1,1.4,Y,
Cheng,mRS score 0-1,Dichotomous,90 days,,Tenecteplase,Best medical treatment,111,44,113,41,,,,,,,,,,,,,,Y,
Cheng,mRS score 0-2,Dichotomous,90 days,,Tenecteplase,Best medical treatment,111,56,113,66,,,,,,,,,,,,,,Y,
Cheng,Symptomatic intracranial hemorrhage,Dichotomous,24 to 48 hours,,Tenecteplase,Best medical treatment,111,6,113,5,,,,,,,,,,,,,,Y,
Cheng,Any intracranial hemorrhage,Dichotomous,24 to 48 hours,,Tenecteplase,Best medical treatment,111,27,113,21,,,,,,,,,,,,,,Y,
Cheng,Parenchymal hemorrhage type 2,Dichotomous,24 to 48 hours,,Tenecteplase,Best medical treatment,111,10,113,4,,,,,,,,,,,,,,Y,
Cheng,mRS score 5-6,Dichotomous,90 days,,Tenecteplase,Best medical treatment,111,22,113,20,,,,,,,,,,,,,,Y,
Cheng,Systemic hemorrhage,Dichotomous,Before discharge,,Tenecteplase,Best medical treatment,111,5,113,7,,,,,,,,,,,,,,Y,
Cheng,⬇ ADD KEY OUTCOMES PM MISSED BELOW ⬇,,,,,,,,,,,,,,,,,,,,,,,Y,
Cheng,,,,,,,,,,,,,,,,,,,,,,,,Y,
Cheng,,,,,,,,,,,,,,,,,,,,,,,,Y,
,,,,,,,,,,,,,,,,,,,,,,,,,
Wang,mRS (0-1) at 90 days,Dichotomous,90 days,Yes,TNK group,Control group,40,21,40,20,,,,,,,,,,,,,,,
Wang,mRS (0-2) at 90 days,Dichotomous,90 days,,TNK group,Control group,40,26,40,24,,,,,,,,,,,,,,,
Wang,mRS distribution at 90 days,Ordinal,90 days,,TNK group,Control group,40,,40,,,,,,,,,,,,0.91,0.42,1.98,,
Wang,Changes in NIHSS at 24 hours (median [IQR]),Continuous,24 hours,,TNK group,Control group,40,,40,,,,-2,-4,0,,,0,-2,0,-1.29,-2.71,0.12,Y,
Wang,Changes in NIHSS at 7 days (median [IQR]),Continuous,7 days,,TNK group,Control group,40,,40,,,,-3,-6,0,,,-2,-4,-1,-0.47,-2,1.05,Y,
Wang,ENI (Early neurological improvement),Dichotomous,24 hours,,TNK group,Control group,40,11,40,3,,,,,,,,,,,,,,Y,
Wang,sICH,Dichotomous,48 hours,,TNK group,Control group,40,0,40,0,,,,,,,,,,,,,,Y,
Wang,HT within 7 days,Dichotomous,7 days,,TNK group,Control group,40,3,40,0,,,,,,,,,,,,,,Y,
Wang,HI-1,Dichotomous,7 days,,TNK group,Control group,40,0,40,0,,,,,,,,,,,,,,Y,
Wang,HI-2,Dichotomous,7 days,,TNK group,Control group,40,0,40,0,,,,,,,,,,,,,,Y,
Wang,PH-1,Dichotomous,48 hours,,TNK group,Control group,40,2,40,0,,,,,,,,,,,,,,Y,
Wang,PH-2,Dichotomous,48 hours,,TNK group,Control group,40,1,40,0,,,,,,,,,,,,,,Y,
Wang,Other bleeding events within 7 days,Dichotomous,7 days,,TNK group,Control group,40,0,40,0,,,,,,,,,,,,,,Y,
Wang,Death within 14 days,Dichotomous,14 days,,TNK group,Control group,40,0,40,0,,,,,,,,,,,,,,Y,
Wang,Adverse events,Dichotomous,90 days,,TNK group,Control group,40,11,40,4,,,,,,,,,,,,,,Y,
Wang,Severe adverse events,Dichotomous,90 days,,TNK group,Control group,40,7,40,2,,,,,,,,,,,,,,Y,
Wang,⬇ ADD KEY OUTCOMES PM MISSED BELOW ⬇,,,,,,,,,,,,,,,,,,,,,,,Y,
Wang,,,,,,,,,,,,,,,,,,,,,,,,Y,
Wang,,,,,,,,,,,,,,,,,,,,,,,,Y,
,,,,,,,,,,,,,,,,,,,,,,,,,
Xiong,Score of 0 or 1 on the modified Rankin scale,Dichotomous,90 days,Yes,Tenecteplase,Standard Medical Treatment,264,87,252,61,,,,,,,,,,,,,,,
Xiong,Ordinal distribution of scores on the modified Rankin scale,Ordinal,90 days,,Tenecteplase,Standard Medical Treatment,264,,252,,,,,,,,,,,,1.33,0.98,1.81,,
Xiong,"Score of ≤2 on the modified Rankin scale, indicating functional independence",Dichotomous,90 days,,Tenecteplase,Standard Medical Treatment,264,115,252,84,,,,,,,,,,,,,,,
Xiong,Major neurologic improvement,Dichotomous,72 hours,,Tenecteplase,Standard Medical Treatment,250,40,249,15,,,,,,,,,,,,,,Y,
